,Full Name,Gender,Age,Use Phone for Class Notes,Buy/Access Books from Phone,Phone's Battery Lasts a Day,Run for Charger When Battery Dies,Worry About Losing Cell Phone,Take Phone to Bathroom,Use Phone in Social Gatherings,Check Phone Without Notification,Check Phone Before Sleep/After Waking Up,Keep Phone Next to While Sleeping,Check Emails/Calls/Texts During Class,Rely on Phone in Awkward Situations,On Phone While Watching TV/Eating,Panic Attack if Phone Left Elsewhere,Use Phone on Date,Phone Use for Playing Games,Live a Day Without Phone,Addicted to Phone,Target
61,Maria Garcia,Male,34,No,No,Yes,No,Yes,No,Yes,Rarely,No,Yes,Yes,Yes,No,Yes,No,5,No,No,Adicted
62,Maria Garcia,Female,28,Yes,No,No,No,Yes,No,Yes,Rarely,No,Yes,No,No,Yes,Yes,No,1,No,No,Maybe addicted
63,John Doe,Female,53,No,Yes,No,No,No,Yes,No,Sometimes,Yes,Yes,No,Yes,Yes,No,No,3,Yes,Yes,Maybe addicted
64,Emily Martinez,Male,28,Yes,Yes,Yes,Yes,Yes,Yes,No,Rarely,No,No,Yes,No,No,Yes,No,5,No,Yes,Maybe addicted
65,Alex Johnson,Male,42,No,No,No,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,Yes,3,Yes,Yes,Adicted
66,Alex Johnson,Female,38,Yes,No,No,No,No,Yes,Yes,Often,Yes,Yes,Yes,No,Yes,No,No,2,Yes,Yes,Maybe addicted
67,Maria Garcia,Male,42,Yes,No,No,Yes,No,Yes,No,Often,No,No,No,No,No,Yes,Yes,4,No,Yes,Maybe addicted
68,Jane Smith,Female,22,Yes,No,No,No,Yes,No,No,Sometimes,Yes,No,Yes,No,Yes,Yes,Yes,5,Yes,Yes,Adicted
69,Maria Garcia,Female,63,Yes,No,No,No,Yes,Yes,Yes,Sometimes,No,No,No,Yes,Yes,No,No,4,No,Yes,Adicted
70,James Lee,Female,32,No,No,Yes,Yes,No,Yes,No,Rarely,No,No,Yes,Yes,No,No,No,1,No,No,Maybe addicted
71,Alex Johnson,Female,63,No,Yes,No,No,Yes,No,Yes,Rarely,Yes,Yes,No,No,Yes,Yes,No,3,No,No, NOT Adicted
72,Jane Smith,Female,50,No,No,Yes,No,Yes,Yes,No,Rarely,No,Yes,No,Yes,Yes,No,Yes,2,Yes,No,Adicted
73,Jane Smith,Female,19,Yes,Yes,Yes,No,Yes,Yes,Yes,Sometimes,Yes,No,Yes,Yes,No,Yes,Yes,1,Yes,No,Maybe addicted
74,John Doe,Female,31,No,Yes,No,Yes,No,No,No,Never,Yes,Yes,No,Yes,Yes,No,Yes,5,Yes,Yes,Maybe addicted
75,James Lee,Female,30,No,Yes,Yes,No,Yes,No,No,Sometimes,No,No,Yes,No,No,No,Yes,4,No,Yes,Maybe addicted
76,Alex Johnson,Female,44,Yes,No,Yes,No,No,Yes,No,Sometimes,No,No,No,Yes,Yes,No,No,2,No,Yes, NOT Adicted
77,John Doe,Male,37,Yes,Yes,Yes,No,Yes,No,Yes,Never,No,Yes,No,No,Yes,Yes,No,0,No,Yes, NOT Adicted
78,Jane Smith,Female,27,No,Yes,No,Yes,Yes,No,No,Sometimes,Yes,Yes,Yes,Yes,Yes,No,Yes,5,Yes,No, NOT Adicted
79,Alex Johnson,Female,49,Yes,Yes,No,No,No,No,No,Rarely,No,Yes,Yes,Yes,Yes,Yes,No,3,Yes,No, NOT Adicted
80,John Doe,Female,31,Yes,No,No,Yes,Yes,Yes,No,Rarely,No,Yes,Yes,No,Yes,Yes,No,4,No,No,Adicted
81,Jane Smith,Male,55,No,Yes,No,No,Yes,No,No,Sometimes,No,No,No,Yes,No,Yes,Yes,1,No,No,Adicted
82,Maria Garcia,Female,38,No,Yes,Yes,No,Yes,Yes,Yes,Often,No,Yes,Yes,No,No,No,Yes,2,No,No, NOT Adicted
83,Jane Smith,Male,39,Yes,Yes,No,Yes,No,No,Yes,Rarely,Yes,No,Yes,No,Yes,Yes,Yes,3,Yes,Yes,Maybe addicted
84,James Lee,Male,29,Yes,No,Yes,No,No,Yes,No,Rarely,Yes,Yes,No,No,Yes,No,Yes,0,No,No, NOT Adicted
85,John Doe,Male,57,Yes,No,Yes,Yes,No,Yes,No,Never,Yes,No,No,Yes,Yes,No,No,1,No,Yes, NOT Adicted
86,Emily Martinez,Female,20,Yes,Yes,No,Yes,No,No,No,Often,Yes,Yes,No,Yes,No,No,No,4,Yes,No,Maybe addicted
87,Maria Garcia,Female,63,Yes,No,No,Yes,Yes,Yes,No,Never,Yes,Yes,Yes,No,Yes,Yes,Yes,3,Yes,No, NOT Adicted
88,John Doe,Male,49,No,No,No,No,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,No,Yes,Yes,4,No,Yes,Adicted
89,Emily Martinez,Female,63,Yes,Yes,Yes,Yes,Yes,No,Yes,Never,Yes,Yes,No,Yes,No,No,Yes,3,No,Yes,Adicted
90,James Lee,Male,23,Yes,Yes,No,No,No,No,No,Never,No,Yes,Yes,Yes,Yes,Yes,Yes,4,Yes,No,Adicted
91,Emily Martinez,Male,56,No,Yes,Yes,No,No,No,No,Rarely,Yes,Yes,No,Yes,No,No,No,2,No,Yes,Maybe addicted
92,Emily Martinez,Female,40,No,No,No,No,Yes,Yes,No,Sometimes,No,Yes,Yes,No,No,No,No,2,No,Yes, NOT Adicted
93,Alex Johnson,Female,62,Yes,Yes,Yes,Yes,No,Yes,Yes,Sometimes,Yes,No,No,Yes,Yes,Yes,Yes,2,Yes,No,Maybe addicted
94,Alex Johnson,Male,55,No,Yes,Yes,Yes,Yes,No,No,Sometimes,No,Yes,No,Yes,Yes,No,Yes,4,No,Yes,Adicted
95,Maria Garcia,Male,59,Yes,Yes,No,No,No,Yes,Yes,Rarely,Yes,No,No,No,No,No,No,5,Yes,No,Adicted
96,James Lee,Female,53,No,No,No,Yes,No,Yes,Yes,Often,Yes,No,No,Yes,No,No,No,0,No,Yes,Adicted
97,James Lee,Male,26,Yes,No,No,No,Yes,No,Yes,Often,No,Yes,Yes,Yes,No,Yes,Yes,4,No,Yes, NOT Adicted
98,Alex Johnson,Female,43,Yes,No,Yes,Yes,Yes,Yes,Yes,Never,No,No,No,Yes,No,Yes,Yes,4,Yes,Yes, NOT Adicted
99,Jane Smith,Male,50,Yes,Yes,No,Yes,No,Yes,No,Often,Yes,No,Yes,No,No,No,No,3,Yes,Yes,Maybe addicted
100,Maria Garcia,Female,52,No,No,Yes,Yes,Yes,No,No,Sometimes,Yes,Yes,Yes,Yes,No,Yes,Yes,4,No,No,Maybe addicted
101,Emily Martinez,Female,43,No,No,No,Yes,Yes,No,No,Rarely,Yes,Yes,Yes,No,Yes,No,No,4,Yes,Yes, NOT Adicted
102,John Doe,Male,54,No,Yes,No,Yes,No,No,No,Never,No,Yes,Yes,No,No,Yes,Yes,5,No,Yes,Maybe addicted
103,Alex Johnson,Female,31,Yes,No,Yes,No,No,No,No,Sometimes,No,No,Yes,No,No,No,Yes,1,No,Yes, NOT Adicted
104,Alex Johnson,Female,33,No,Yes,No,Yes,Yes,No,Yes,Often,No,No,Yes,Yes,No,Yes,Yes,4,No,Yes,Maybe addicted
105,Alex Johnson,Male,40,No,No,Yes,Yes,Yes,Yes,Yes,Never,Yes,No,No,No,No,No,No,0,Yes,Yes,Maybe addicted
106,Alex Johnson,Female,37,No,No,No,Yes,Yes,Yes,Yes,Often,No,Yes,Yes,Yes,Yes,Yes,No,0,No,Yes, NOT Adicted
107,James Lee,Male,35,No,Yes,Yes,Yes,Yes,Yes,Yes,Rarely,No,No,Yes,No,Yes,Yes,Yes,5,No,Yes,Adicted
108,John Doe,Female,52,No,Yes,No,Yes,No,Yes,Yes,Sometimes,Yes,Yes,No,Yes,Yes,No,Yes,4,No,Yes, NOT Adicted
109,Maria Garcia,Female,60,No,Yes,No,Yes,Yes,No,No,Rarely,No,No,Yes,No,No,Yes,Yes,3,Yes,Yes, NOT Adicted
110,Emily Martinez,Female,27,No,No,Yes,Yes,Yes,No,No,Rarely,No,Yes,No,No,No,Yes,Yes,5,Yes,No, NOT Adicted
111,James Lee,Female,31,No,Yes,No,Yes,Yes,No,Yes,Never,Yes,Yes,Yes,Yes,Yes,Yes,No,3,Yes,Yes, NOT Adicted
112,Jane Smith,Female,23,Yes,Yes,Yes,Yes,No,No,No,Never,Yes,No,No,Yes,Yes,Yes,No,1,Yes,Yes,Adicted
113,Maria Garcia,Female,23,No,No,No,No,No,Yes,Yes,Never,No,Yes,Yes,Yes,No,Yes,Yes,3,No,Yes, NOT Adicted
114,Alex Johnson,Male,25,No,No,Yes,No,Yes,Yes,No,Never,No,No,Yes,Yes,No,Yes,No,5,Yes,Yes, NOT Adicted
115,Alex Johnson,Male,55,Yes,No,No,Yes,Yes,Yes,Yes,Never,No,Yes,Yes,No,No,Yes,No,5,Yes,Yes,Maybe addicted
116,James Lee,Male,19,Yes,No,No,No,No,Yes,Yes,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,5,Yes,Yes,Adicted
117,Alex Johnson,Male,35,No,No,No,Yes,Yes,Yes,No,Often,No,No,No,No,No,Yes,No,5,Yes,Yes,Adicted
118,Emily Martinez,Male,33,Yes,No,No,Yes,No,No,Yes,Rarely,No,Yes,No,Yes,No,No,Yes,5,No,No,Adicted
119,Jane Smith,Female,19,No,No,Yes,No,No,No,Yes,Sometimes,Yes,No,Yes,No,No,Yes,No,3,No,No,Adicted
120,Maria Garcia,Female,29,Yes,Yes,No,No,Yes,Yes,No,Rarely,No,Yes,No,No,Yes,Yes,Yes,2,No,No,Adicted
121,Alex Johnson,Female,45,No,No,Yes,Yes,No,Yes,Yes,Often,No,No,Yes,No,Yes,No,Yes,5,No,Yes,Maybe addicted
122,James Lee,Male,53,No,Yes,Yes,Yes,Yes,No,No,Never,Yes,Yes,No,No,No,Yes,No,3,Yes,Yes,Adicted
123,Alex Johnson,Male,37,Yes,No,Yes,Yes,No,Yes,Yes,Often,Yes,No,Yes,Yes,No,No,Yes,3,Yes,No,Adicted
124,John Doe,Female,23,No,Yes,No,No,Yes,No,No,Sometimes,No,Yes,No,Yes,No,No,No,3,No,No,Maybe addicted
125,Jane Smith,Male,32,No,No,Yes,No,No,No,Yes,Often,Yes,No,Yes,Yes,No,No,Yes,0,No,No,Maybe addicted
126,Alex Johnson,Male,30,Yes,Yes,No,Yes,Yes,No,No,Sometimes,Yes,No,Yes,No,No,Yes,Yes,4,No,No,Maybe addicted
127,James Lee,Female,22,Yes,Yes,No,No,No,No,Yes,Rarely,No,No,Yes,No,No,No,Yes,3,No,No, NOT Adicted
128,Emily Martinez,Female,48,No,No,No,Yes,No,Yes,No,Never,No,No,Yes,Yes,No,Yes,No,0,No,Yes,Adicted
129,John Doe,Male,29,Yes,Yes,Yes,Yes,No,No,Yes,Rarely,No,No,No,Yes,Yes,No,Yes,0,Yes,No, NOT Adicted
130,Emily Martinez,Female,37,No,Yes,No,No,No,Yes,Yes,Rarely,Yes,No,No,Yes,No,Yes,No,0,Yes,Yes,Maybe addicted
131,Alex Johnson,Female,21,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,No,No,Adicted
132,Maria Garcia,Female,50,Yes,Yes,Yes,No,No,Yes,Yes,Often,Yes,Yes,No,No,No,No,No,1,Yes,Yes, NOT Adicted
133,Alex Johnson,Female,40,No,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Yes,Yes,No,No,Yes,No,No,1,Yes,Yes, NOT Adicted
134,Emily Martinez,Female,30,Yes,No,Yes,No,No,Yes,Yes,Sometimes,No,No,Yes,No,No,No,Yes,5,No,Yes,Maybe addicted
135,Maria Garcia,Female,28,No,Yes,No,Yes,No,No,Yes,Rarely,Yes,Yes,No,No,Yes,Yes,No,1,Yes,No,Maybe addicted
136,Emily Martinez,Male,34,Yes,Yes,Yes,No,Yes,No,Yes,Sometimes,Yes,Yes,No,No,No,No,No,0,Yes,No,Maybe addicted
137,Maria Garcia,Male,64,No,Yes,Yes,No,No,No,Yes,Sometimes,No,No,No,Yes,No,Yes,Yes,4,Yes,No, NOT Adicted
138,John Doe,Male,34,Yes,No,No,No,No,No,No,Never,Yes,No,No,No,No,No,No,4,Yes,No, NOT Adicted
139,James Lee,Male,45,No,No,Yes,Yes,No,Yes,No,Often,Yes,No,No,No,No,No,No,4,Yes,Yes, NOT Adicted
140,Jane Smith,Female,45,Yes,Yes,Yes,Yes,No,Yes,No,Rarely,No,Yes,No,No,No,No,Yes,0,No,No,Maybe addicted
141,Emily Martinez,Male,37,Yes,Yes,Yes,Yes,No,Yes,Yes,Often,No,No,Yes,Yes,Yes,No,Yes,4,No,Yes,Maybe addicted
142,Jane Smith,Female,41,Yes,No,Yes,Yes,Yes,No,No,Rarely,Yes,Yes,No,No,No,Yes,Yes,3,No,No,Maybe addicted
143,Maria Garcia,Female,27,No,Yes,No,Yes,No,Yes,Yes,Never,No,No,No,No,No,Yes,Yes,3,Yes,No,Adicted
144,Jane Smith,Male,52,No,No,Yes,Yes,No,Yes,No,Rarely,Yes,Yes,No,No,No,No,No,0,Yes,No, NOT Adicted
145,Jane Smith,Male,48,Yes,Yes,No,Yes,Yes,No,Yes,Never,No,No,Yes,Yes,Yes,Yes,Yes,5,Yes,No, NOT Adicted
146,Alex Johnson,Male,54,Yes,Yes,No,No,Yes,No,No,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,5,No,No, NOT Adicted
147,Alex Johnson,Female,37,No,Yes,Yes,No,Yes,No,Yes,Sometimes,Yes,Yes,No,No,Yes,No,Yes,0,No,Yes,Adicted
148,James Lee,Female,60,No,No,No,No,No,Yes,Yes,Rarely,Yes,Yes,No,No,Yes,Yes,Yes,3,No,No,Maybe addicted
149,Alex Johnson,Male,39,No,Yes,Yes,No,Yes,Yes,Yes,Often,Yes,Yes,Yes,No,No,Yes,Yes,5,Yes,Yes, NOT Adicted
150,Alex Johnson,Female,59,No,No,Yes,No,Yes,Yes,Yes,Never,Yes,No,Yes,Yes,Yes,Yes,No,2,No,No,Maybe addicted
151,Maria Garcia,Female,39,No,No,No,No,No,No,No,Rarely,Yes,Yes,No,No,No,No,Yes,1,No,Yes,Adicted
152,Jane Smith,Male,35,Yes,Yes,No,Yes,No,Yes,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Yes,No,Maybe addicted
153,John Doe,Female,49,Yes,No,Yes,Yes,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,No,No,5,No,Yes,Maybe addicted
154,Alex Johnson,Male,23,No,Yes,Yes,Yes,No,No,Yes,Rarely,No,Yes,No,Yes,No,No,No,1,No,Yes,Maybe addicted
155,Jane Smith,Male,53,No,No,Yes,Yes,Yes,No,No,Often,No,No,No,No,Yes,No,Yes,3,Yes,Yes,Maybe addicted
156,Alex Johnson,Male,49,No,Yes,No,Yes,No,Yes,No,Sometimes,Yes,Yes,No,No,Yes,No,No,1,No,Yes,Adicted
157,Jane Smith,Male,30,No,Yes,Yes,No,No,No,No,Rarely,No,Yes,No,No,No,Yes,No,0,No,No,Adicted
158,Alex Johnson,Female,28,Yes,No,Yes,Yes,No,No,Yes,Rarely,No,Yes,No,Yes,Yes,Yes,No,3,Yes,Yes, NOT Adicted
159,Jane Smith,Male,31,No,No,Yes,Yes,Yes,Yes,No,Rarely,Yes,Yes,No,Yes,Yes,Yes,Yes,1,No,Yes, NOT Adicted
160,James Lee,Male,27,No,Yes,No,No,Yes,No,Yes,Never,No,Yes,No,No,No,Yes,No,4,Yes,No,Adicted
161,Emily Martinez,Female,18,No,Yes,No,No,No,Yes,Yes,Never,Yes,Yes,Yes,Yes,Yes,No,No,4,Yes,Yes, NOT Adicted
162,John Doe,Male,20,No,No,No,Yes,No,Yes,No,Never,Yes,No,Yes,Yes,No,No,Yes,1,No,No, NOT Adicted
163,James Lee,Male,31,Yes,Yes,Yes,No,No,No,No,Sometimes,Yes,No,No,Yes,No,Yes,No,1,No,Yes,Maybe addicted
164,Jane Smith,Female,57,No,Yes,Yes,Yes,No,No,Yes,Often,Yes,Yes,Yes,No,Yes,No,Yes,1,Yes,No,Maybe addicted
165,Alex Johnson,Male,20,Yes,No,No,No,Yes,Yes,No,Sometimes,No,Yes,No,No,No,No,Yes,2,Yes,No,Maybe addicted
166,Alex Johnson,Male,33,Yes,Yes,No,Yes,No,Yes,No,Never,Yes,Yes,No,Yes,No,Yes,No,5,Yes,Yes, NOT Adicted
167,Emily Martinez,Female,29,Yes,Yes,No,No,Yes,No,No,Sometimes,Yes,Yes,No,Yes,No,No,No,2,Yes,Yes,Maybe addicted
168,Alex Johnson,Male,22,No,No,No,No,No,No,Yes,Rarely,Yes,No,Yes,No,Yes,Yes,Yes,3,Yes,No, NOT Adicted
169,Maria Garcia,Female,52,Yes,Yes,No,No,No,Yes,Yes,Sometimes,Yes,Yes,Yes,No,No,No,Yes,3,Yes,Yes,Maybe addicted
170,Emily Martinez,Male,39,Yes,Yes,No,Yes,Yes,Yes,No,Never,No,No,Yes,Yes,Yes,No,No,4,No,Yes, NOT Adicted
171,Alex Johnson,Male,46,Yes,Yes,Yes,No,No,No,No,Never,Yes,No,No,Yes,No,No,No,5,No,Yes,Adicted
172,Emily Martinez,Female,43,Yes,Yes,No,Yes,No,Yes,Yes,Sometimes,Yes,No,Yes,No,Yes,Yes,Yes,5,No,No, NOT Adicted
173,Emily Martinez,Female,19,Yes,No,No,No,Yes,Yes,No,Often,Yes,Yes,Yes,Yes,Yes,No,Yes,5,Yes,Yes,Maybe addicted
174,Alex Johnson,Female,65,No,No,Yes,Yes,Yes,Yes,Yes,Often,Yes,Yes,Yes,Yes,No,No,No,3,Yes,No, NOT Adicted
175,Jane Smith,Male,57,No,No,No,Yes,No,Yes,No,Rarely,No,Yes,No,No,No,No,No,0,No,No, NOT Adicted
176,Emily Martinez,Female,39,Yes,Yes,No,Yes,Yes,Yes,Yes,Often,No,No,Yes,Yes,No,Yes,No,4,No,No,Adicted
177,James Lee,Female,48,No,No,Yes,No,Yes,No,Yes,Sometimes,No,No,No,No,No,Yes,Yes,4,No,No,Maybe addicted
